Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2012;2;2012-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;309937;331342
2012;2;2012-06-30;Contrat de plus d'un mois;CDI;238539;261990
2012;3;2012-08-31;Contrat de plus d'un mois;CDI;192494;258413
2012;4;2012-10-31;Contrat de plus d'un mois;CDI;320332;256603
2013;1;2013-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;299089;323244
2013;1;2013-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;253932;323577
2013;1;2013-03-31;Contrat de plus d'un mois;CDI;230338;245633
2013;2;2013-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;300243;314145
2013;3;2013-07-31;Contrat de plus d'un mois;CDI;245905;253755
2013;4;2013-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;271013;332469
2013;4;2013-12-31;Contrat de plus d'un mois;CDI;190073;249200
2014;1;2014-03-31;Contrat de plus d'un mois;CDI;242545;253313
2014;2;2014-06-30;Contrat de plus d'un mois;CDI;231628;255419
2014;3;2014-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;619335;338230
2014;4;2014-10-31;Contrat de plus d'un mois;CDI;289801;243558
2014;4;2014-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;233782;325750
2014;4;2014-12-31;Contrat de plus d'un mois;CDI;188943;245065
2015;1;2015-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;309301;331030
2015;1;2015-02-28;Contrat de plus d'un mois;CDI;213223;244128
2015;1;2015-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271720;325584
2015;2;2015-04-30;Contrat de plus d'un mois;CDI;248634;253596
2015;3;2015-08-31;Contrat de plus d'un mois;CDI;201912;263906
2015;4;2015-10-31;Contrat de plus d'un mois;CDI;304441;260349
2015;4;2015-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;301701;346449
2015;4;2015-11-30;Contrat de plus d'un mois;CDI;258307;262778
2015;4;2015-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;226523;329400
2015;4;2015-12-31;Contrat de plus d'un mois;CDI;196827;261384
2016;1;2016-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233425;352179
2016;2;2016-05-31;Contrat de plus d'un mois;CDI;248026;278182
2016;3;2016-07-31;Contrat de plus d'un mois;CDI;248858;276618
2016;3;2016-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;624914;352516
2016;4;2016-12-31;Contrat de plus d'un mois;CDI;226335;309555
2017;1;2017-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;346146;347656
2017;1;2017-01-31;Contrat de plus d'un mois;CDI;370508;283061
2017;1;2017-02-28;Contrat de plus d'un mois;CDI;256960;291352
2017;2;2017-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;323482;365283
2017;4;2017-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241862;379214
2018;1;2018-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;344842;355321
2018;1;2018-01-31;Contrat de plus d'un mois;CDI;426595;332134
2018;1;2018-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;292807;373072
2018;1;2018-03-31;Contrat de plus d'un mois;CDI;320857;335165
2018;2;2018-04-30;Contrat de plus d'un mois;CDI;328732;337041
2018;2;2018-06-30;Contrat de plus d'un mois;CDI;311323;340765
2018;3;2018-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;651891;360905
2018;4;2018-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;367032;365205
2018;4;2018-11-30;Contrat de plus d'un mois;CDI;339581;343491
2018;4;2018-12-31;Contrat de plus d'un mois;CDI;251924;350071
2019;1;2019-01-31;Contrat de plus d'un mois;CDI;440369;349747
2019;1;2019-03-31;Contrat de plus d'un mois;CDI;338613;354798
2019;2;2019-04-30;Contrat de plus d'un mois;CDI;354017;356782
2019;2;2019-05-31;Contrat de plus d'un mois;CDI;298610;344819
2019;3;2019-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;257128;352296
2019;4;2019-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;310061;374783
2020;1;2020-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;353600;376933
2020;1;2020-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;224298;275503
2020;2;2020-05-31;Contrat de plus d'un mois;CDI;148601;173351
2020;2;2020-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;412429;354402
